	(1,310.35)	(2,025.34)	(2,796.78)	(5,079.89)	(1,486.55)	(2,578.76)	(1,869.44)	(2,289.96)	(1,878.91)
polspace	474.25	626.71	296.55	433.70	467.00	832.67	420.43	-542.09	1,562.30**
	(512.55)	(776.47)	(765.16)	(1,552.28)	(613.50)	(1,005.50)	(689.21)	(827.01)	(648.98)
never_collective	861.23	1,122.69	377.84	235.06	470.98	2,148.47	546.85	-421.54	1,723.64
	(1,121.20)	(1,814.20)	(1,912.86)	(3,310.64)	(1,345.67)	(2,221.09)	(1,588.04)	(1,693.04)	(1,637.73)
tropenbos_d	2,710.56	-1,053.21	3,479.29	7,415.84	1,412.60	2,738.40	3,149.04	4,824.49*	202.78
	(2,074.11)	(5,135.75)	(3,441.64)	(7,507.55)	(2,509.40)	(7,731.94)	(3,838.14)	(2,612.08)	(3,844.98)
gaia_d	1,966.99	2,122.79	2,031.17	3,932.24	2,132.49	134.70	1,470.70	873.21	1,692.87
	(1,620.45)	(2,513.33)	(2,851.44)	(6,074.71)	(1,809.86)	(5,367.77)	(1,765.25)	(2,569.36)	(2,961.03)
omacha_d	2,605.31	7,185.54*	-3,908.93	-290.00	4,891.60	1,482.17	4,505.43	3,898.19	736.03
	(2,686.59)	(3,893.28)	(5,297.23)	(9,630.49)	(3,219.27)	(5,205.90)	(5,541.38)	(3,374.91)	(5,027.21)
dononce	-263.83	2,494.97	888.45	-1,625.10	266.64	119.79	-517.15	-1,139.32	319.77
	(1,672.45)	(2,692.71)	(2,247.25)	(6,895.65)	(2,088.87)	(2,789.28)	(3,590.23)	(2,424.72)	(2,852.04)
donmany	504.19	2,048.07	-7,302.46*	-1,040.77	2,312.64	512.72	1,440.89	-1,441.18	4,647.16
	(1,573.42)	(1,742.39)	(3,720.96)	(3,970.34)	(2,093.16)	(3,026.23)	(2,457.21)	(1,902.75)	(2,857.46)
o.female				-	-				
									
o.residence_farm								-	-
									
Constant	6,357.69**	2,452.34	3,614.33	-246.80	8,243.99**	-911.43	5,109.71	8,466.23	3,020.34
	(3,069.23)	(5,374.66)	(5,575.22)	(8,217.87)	(3,568.57)	(6,874.48)	(5,567.47)	(6,753.24)	(3,450.00)
									
Observations	203	105	98	57	146	94	109	81	122
R-squared	0.33	0.40	0.24	0.49	0.37	0.32	0.45	0.55	0.30
Adjusted R-squared	0.252	0.250	0.025	0.201	0.265	0.124	0.321	0.399	0.159
Socio-economics	0.000	0.014	0.757	0.066	0.000	0.043	0.087	0.001	0.373
Trust & Involvement	0.350	0.382	0.645	0.851	0.356	0.772	0.703	0.268	0.209
Experience with NGOs	0.153	0.179	0.302	0.812	0.141	0.999	0.335	0.188	0.701
Standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
